timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,sys.rangingUs
33146.242,327.9375,310.8125,186.5,378.9375,50.6875,1001.9375,292.75,228.1875,1920.625,18.25,-18.375,0.0,0.0,147.67123413085938,0,55132
33195.801,330.125,310.8125,186.5,378.9375,50.6875,1001.9375,292.75,228.1875,1920.625,18.25,-18.375,0.0,0.0,147.63818359375,0,55132
33245.333,330.125,293.8125,180.625,476.625,50.6875,1409.4375,281.5,250.375,1921.125,18.25,-18.9375,0.0,0.0,147.62408447265625,0,54967
33294.897,330.125,293.8125,180.625,476.625,50.6875,1409.4375,281.5,250.375,1921.125,18.25,-18.9375,0.0,0.0,147.65089416503906,0,54967
33344.437,330.125,293.8125,180.625,476.625,50.6875,1409.4375,281.5,250.375,1921.125,18.25,-18.9375,0.0,0.0,147.68331909179688,0,54967
33393.993,331.9375,294.75,144.8125,323.5625,51.75,1820.1875,297.625,230.0,1919.875,22.125,-18.9375,0.0,0.0,147.67559814453125,0,54967
33443.516,331.9375,294.75,144.8125,323.5625,51.75,1820.1875,297.625,230.0,1919.875,22.125,-18.8125,0.0,0.0,147.63551330566406,0,55051
33493.079,331.9375,294.75,144.8125,323.5625,51.75,1820.1875,297.625,230.0,1919.875,22.125,-18.8125,0.0,0.0,147.61361694335938,0,55051
33542.612,146.8125,118.1875,120.8125,579.8125,54.0,1840.3125,283.5625,212.5,1921.0625,22.125,-18.8125,0.0,0.0,147.63772583007812,0,55051
33592.161,146.8125,118.1875,120.8125,579.8125,54.0,1840.3125,283.5625,212.5,1921.0625,18.3125,-18.3125,0.0,0.0,147.65975952148438,0,55067
33641.699,146.8125,118.1875,120.8125,579.8125,54.0,1840.3125,283.5625,212.5,1921.0625,18.3125,-18.3125,0.0,0.0,147.6752471923828,0,55067
33691.268,314.4375,272.375,216.5625,380.1875,57.9375,1985.5625,286.5,247.3125,1921.0625,18.3125,-18.3125,0.0,0.0,147.67440795898438,0,55067
33740.79,314.4375,272.375,216.5625,380.1875,57.9375,1985.5625,286.5,247.3125,1921.25,22.125,-19.0625,0.0,0.0,147.70864868164062,0,55150
33790.344,314.4375,272.375,216.5625,380.1875,57.9375,1985.5625,286.5,247.3125,1921.25,22.125,-19.0625,0.0,0.0,147.70623779296875,0,55150
33839.896,334.4375,295.375,231.875,539.3125,51.5,1848.5625,300.875,247.3125,1921.25,22.125,-19.0625,0.0,0.0,147.65655517578125,0,55150
33889.445,334.4375,295.375,231.875,539.3125,51.5,1848.5625,300.875,249.875,1920.0625,22.3125,-19.0625,0.0,0.0,147.64065551757812,0,55093
33938.972,334.4375,295.375,231.875,539.3125,51.5,1848.5625,300.875,249.875,1920.0625,22.3125,-19.0625,0.0,0.0,147.6642608642578,0,55093
33988.532,337.125,308.75,255.0,542.625,52.0625,1989.25,300.875,249.875,1920.0625,22.3125,-19.0625,0.0,0.0,147.70144653320312,0,55093
34038.064,337.125,308.75,255.0,542.625,52.0625,1989.25,284.1875,246.4375,1919.0625,18.4375,-18.25,0.0,0.0,147.73715209960938,0,55145
34087.628,337.125,308.75,255.0,542.625,52.0625,1989.25,284.1875,246.4375,1919.0625,18.4375,-18.25,0.0,0.0,147.7218475341797,0,55145
34137.167,339.3125,310.6875,255.3125,386.625,50.875,1989.25,284.1875,246.4375,1919.0625,18.4375,-18.25,0.0,0.0,147.6442108154297,0,55145
34186.709,339.3125,310.6875,255.3125,386.625,50.875,2013.8125,287.3125,228.3125,1921.875,22.375,-18.9375,0.0,0.0,147.63412475585938,0,55099
34236.246,339.3125,310.6875,255.3125,386.625,50.875,2013.8125,287.3125,228.3125,1921.875,22.375,-18.9375,0.0,0.0,147.62525939941406,0,55099
34285.817,339.25,309.75,257.125,386.0625,50.875,2013.8125,287.3125,228.3125,1921.875,22.375,-18.9375,0.0,0.0,147.59197998046875,0,55099
34335.338,339.25,309.75,257.125,386.0625,51.25,1986.9375,285.125,226.5625,1919.5,22.1875,-18.1875,0.0,0.0,147.56085205078125,0,55184
